Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,-0.5213514013027895,0.9389212232156113,-1.364429374567147,-0.46621733734113063,-0.23129361403505433,-0.45026991976061204,-0.3634510036725951,0.555611170431503,1.2701389658086133,-0.5734068289908607,-0.9629602940824191,5
1,-0.2924654202430286,1.9409632009331126,-1.364429374567147,0.05003827349083779,0.2341440635037967,0.9155189639488588,0.6431949857922223,0.036148766090434103,-0.7086173644541643,0.13082383598394676,-0.5933413487184951,5
2,-0.2924654202430286,1.272935215788112,-1.161059383678414,-0.17121413115143455,0.10720651508410999,-0.06004452441504895,0.24663747479093065,0.14004124695863635,-0.3256322682742739,-0.04523383025975525,-0.5933413487184951,5
3,1.6530654187649407,-1.3991767247918905,1.4827504978751154,-0.46621733734113063,-0.2524498721050021,0.1350681732577326,0.42966401832998835,0.6595036512997052,-0.9639407619074265,-0.45603505149505996,-0.5933413487184951,6
4,-0.5213514013027895,0.9389212232156113,-1.364429374567147,-0.46621733734113063,-0.23129361403505433,-0.45026991976061204,-0.3634510036725951,0.555611170431503,1.2701389658086133,-0.5734068289908607,-0.9629602940824191,5
5,-0.5213514013027895,0.7162452281672782,-1.364429374567147,-0.5399681388885547,-0.2524498721050021,-0.2551572220878305,-0.18042446013353738,0.555611170431503,1.2701389658086133,-0.5734068289908607,-0.9629602940824191,5
6,-0.235243924978088,0.3822312355947776,-1.0593743882340474,-0.6874697419834027,-0.37938742052468855,-0.06004452441504895,0.3991595944068121,-0.17163619564602806,-0.07030887082101173,-1.160265716469867,-0.9629602940824191,5
7,-0.57857289656773,0.6605762294051948,-1.364429374567147,-0.9824729481730989,-0.46401245280447967,-0.06004452441504895,-0.7600085146738869,-1.1066685234599059,0.5041687734488296,-1.1015798277219666,-0.40853187603653396,7
8,-0.2924654202430286,0.2708932380706107,-1.2627443791227806,-0.39246653579370655,-0.2947623882448977,-0.6453826174333935,-0.8515217864434157,0.036148766090434103,0.3126762253588815,-0.5147209402429607,-0.8705555577414386,7
10,-0.9219018681573715,0.2708932380706107,-0.9576893927896809,-0.5399681388885547,0.21298780543384685,-0.06004452441504895,0.5821861379458698,-0.43136739781653366,-0.1979705695476428,-0.690778606486662,-1.147769766764382,5
12,-1.551338316071715,0.46573473373790275,-1.364429374567147,-0.6874697419834027,0.043737740874266615,0.03751182442134182,0.3991595944068121,-1.262507244762267,1.7169549113518234,-0.8081503839824633,-0.5009366123775145,5
13,-0.2924654202430286,0.43790023435686104,0.11000305937616718,-0.6874697419834027,0.572644192622961,-0.6453826174333935,-0.5159731232884766,0.34782620869504083,-0.3256322682742739,5.295182045799201,-1.2401745031053626,5
16,0.10808504661155348,-1.3991767247918905,1.4827504978751154,-0.5399681388885547,0.10720651508410999,1.8910824523127663,1.7413542470265688,0.08809500652453522,-0.07030887082101173,0.5416250572192508,0.05349180566837065,7
19,-0.235243924978088,-1.176500729743557,1.2285380092641989,-0.5399681388885547,5.375114774501104,0.1350681732577326,0.3076463226372832,0.08809500652453522,-1.729910954267213,2.4782593858999715,-1.147769766764382,6
21,-0.40690841077290923,-0.7868177384089733,0.21168805482053377,-0.17121413115143455,-0.10435606561536966,0.7204062662760772,0.7652126814849275,0.7633961321679075,1.3339698151719301,-0.04523383025975525,-0.6857460850594773,5
22,-0.235243924978088,-0.5641417433606399,-0.2967369224012988,-0.6874697419834027,0.4033941280633787,-0.5478262685970028,-0.27193773190306625,-0.06774371477776814,-0.9001099125441123,1.4805992771856609,-0.8705555577414386,5
23,0.10808504661155348,-0.23012775078813957,-0.8051618996231313,-0.17121413115143455,-0.062043549475472026,-0.6453826174333935,0.6431949857922223,0.036148766090434103,-0.9001099125441123,-0.7494644952345627,-0.9629602940824191,5
24,-0.8074588776274908,-0.7311487396468899,-0.6526344064565814,-0.09746332960401043,-0.04088729140552424,0.5252935686032957,-0.18042446013353738,0.036148766090434103,0.7594921709020918,-0.1626056077555566,-0.6857460850594773,6
25,-1.1507878492171328,-0.7868177384089733,-0.550949411012215,-0.8349713450782509,-0.14666858175526318,-0.45026991976061204,-0.6989996668275342,-0.6391523595529381,0.18501452663225043,-0.5734068289908607,-1.0553650304233997,5
26,-0.40690841077290923,-0.6754797408848068,-0.14420942923474903,-0.5399681388885547,-0.14666858175526318,-1.1331643616153475,-1.0650527539056498,-0.2755286765142303,-0.1979705695476428,-0.3973491627471593,-0.8705555577414386,5
